Search_ID, Mode
107467,transit
108163,transit
112302,walking
112307,transit
114742,biking
114862,transit
116829,transit
119191,biking
120218,transit
120497,transit
122023,rideshare
122340,transit
122497,transit
122679,transit
123031,transit
124778,walking
126827,transit
126829,transit
126832,transit
126839,transit
126877,transit
127115,walking
127580,walking
127609,transit
127764,transit
127835,walking
127839,walking
127841,biking
127845,transit
127866,transit
127867,walking
127869,transit
127870,transit
127874,transit
127875,transit
127878,transit
127879,transit
127893,transit
127894,transit
127906,walking
127914,transit
127916,transit
127920,transit
127923,transit
127929,transit
127931,transit
127936,transit
127943,transit
127945,transit
127952,transit
127953,transit
127960,transit
127967,transit
127974,transit
127978,transit
127980,transit
127984,transit
127991,transit
127997,transit
127998,transit
127999,transit
128001,rideshare
128003,transit
128009,transit
128013,transit
128019,transit
128024,transit
128030,transit
128038,transit
128039,transit
128041,transit
128044,transit
128045,transit
128047,transit
128061,transit
128064,transit
128080,transit
128088,transit
128090,transit
128098,transit
128101,transit
128109,transit
128118,walking
128123,transit
128132,transit
128133,transit
128138,transit
128142,transit
128144,transit
128152,transit
128154,transit
128158,transit
128159,rideshare
128161,transit
128165,transit
128168,transit
128169,transit
128177,transit
128181,biking
128189,transit
128191,transit
128197,transit
128209,transit
128210,transit
128211,transit
128212,transit
128227,transit
128231,transit
128250,transit
128268,biking
128279,transit
128282,transit
128286,transit
128290,transit
128291,transit
128292,rideshare
128306,transit
128309,transit
128310,walking
128317,transit
128319,transit
128321,transit
128326,transit
128330,biking
128335,transit
128336,transit
128338,transit
128343,transit
128350,transit
128355,transit
128357,transit
128358,transit
128362,transit
128364,transit
128370,transit
128371,transit
128372,transit
128377,transit
128387,biking
128393,transit
128399,biking
128402,transit
128403,transit
128404,biking
128409,biking
128410,biking
128411,transit
128418,transit
128423,transit
128425,walking
128426,transit
128440,transit
128449,walking
128461,transit
128469,transit
128477,biking
128487,transit
128490,transit
128493,transit
128495,transit
128496,transit
128497,rideshare
128498,transit
128501,transit
128503,walking
128507,biking
128521,transit
128523,transit
128528,transit
128529,transit
128535,transit
128539,rideshare
128543,transit
128555,transit
128566,transit
128579,transit
128582,rideshare
128585,biking
128586,transit
128602,transit
128607,transit
128616,rideshare
128619,transit
128620,transit
128647,transit
128649,transit
128651,biking
128652,transit
128654,transit
128660,transit
128662,transit
128666,transit
128669,transit
128675,transit
128677,transit
128679,transit
128687,biking
128692,transit
128693,biking
128695,transit
128698,transit
128699,transit
128705,transit
128706,transit
128707,transit
128712,transit
128713,transit
128714,transit
128715,transit
128724,transit
128730,transit
128733,rideshare
128737,transit
128738,transit
128740,transit
128746,transit
128753,transit
128756,transit
128758,transit
128761,transit
128763,transit
128767,transit
128770,transit
128782,transit
128785,transit
128792,transit
128796,transit
128800,transit
128804,transit
128810,transit
128817,transit
128819,transit
128820,biking
128821,transit
128833,rideshare
128834,transit
128835,rideshare
128839,transit
128846,transit
128847,transit
128857,transit
128858,transit
128860,transit
128862,transit
128865,transit
128866,transit
128869,transit
128870,transit
128876,transit
128880,transit
128881,transit
128885,transit
128886,transit
128888,transit
128889,transit
128891,biking
128894,transit
128900,transit
128907,transit
128908,transit
128909,biking
128913,transit
128915,transit
128919,transit
128924,biking
128926,transit
128929,transit
128941,transit
128946,transit
128953,transit
128954,walking
128955,transit
128956,walking
128959,transit
128960,biking
128961,transit
128966,rideshare
128985,transit
128993,transit
128994,transit
128998,transit
129005,transit
129007,transit
129008,transit
129009,transit
129010,transit
129018,transit
129021,transit
129022,transit
129024,transit
129026,transit
129027,rideshare
129031,transit
129038,walking
129041,transit
129042,transit
129045,transit
129054,transit
129057,transit
129061,transit
129066,transit
129068,transit
129070,transit
129073,transit
129074,biking
129077,walking
129078,transit
129093,walking
129094,transit
129097,transit
129110,transit
129121,transit
129122,transit
129124,walking
129125,walking
129130,transit
129135,transit
129140,transit
129143,transit
129144,transit
129146,transit
129148,transit
129149,walking
129152,transit
129158,transit
129162,transit
129165,walking
129167,transit
129168,rideshare
129171,transit
129173,rideshare
129179,transit
129180,transit
129181,transit
129182,transit
129183,transit
129187,transit
129197,biking
129205,transit
129206,walking
129208,transit
129210,transit
129214,transit
129217,biking
129219,transit
129225,transit
129226,transit
129237,transit
129239,transit
129242,transit
129243,transit
129246,transit
129247,transit
129251,transit
129253,rideshare
129256,transit
129258,transit
129259,transit
129264,transit
129265,transit
129267,transit
129271,transit
129273,biking
129274,transit
129275,transit
129277,transit
129283,transit
129284,transit
129288,transit
129292,transit
129295,transit
129296,transit
129305,transit
129309,transit
129311,transit
129312,transit
129317,transit
129321,transit
129322,transit
129325,transit
129332,walking
129335,walking
129341,transit
129344,transit
129346,transit
129356,transit
129360,transit
129366,transit
129368,walking
