Search_ID,Temp,Precip
157637,62.73,0
262678,57.32,100
208564,60.35,100
138140,54.13,100
207359,57.51,100
181521,58.47,100
218497,52.54,100
179653,57.19,100
140493,55.51,0
142162,64.25,100
158025,61,0
128521,58.57,0
180297,61.54,100
280300,57.69,100
180090,58.62,100
192482,53.18,100
178874,51.84,100
194483,58.98,100
258881,54.04,0
243497,63.99,100
256578,57.26,100
242218,53.57,100
251267,56.55,100
263032,55.21,100
194943,57.41,100
150669,56.21,100
151614,56.72,100
154358,53.24,100
205890,57,0
274734,59.06,100
175215,53.24,100
169536,61.32,100
280138,58.19,100
173153,52.93,100
240295,62.86,100
206029,57,100
252963,56.18,100
145817,57.32,100
239707,55.03,100
239293,55.78,100
167688,57.81,100
284282,56.09,0
128409,58.53,100
194809,58.2,100
138819,63.02,100
211321,61.79,0
223077,52.39,100
190901,54.29,100
150772,56.27,100
230523,54.44,100
228048,52.4,100
237928,50.93,100
280500,58.29,100
234405,52.06,100
241407,53.64,0
210206,52.75,100
141268,47.9,0
193792,49.96,100
210403,52.55,100
253757,55.23,100
233335,52.7,100
133070,-1,-1
206238,56.22,100
188899,57.26,100
138564,52.2,100
149655,-1,-1
204150,54.13,100
278698,-1,-1
251514,56.89,100
137620,55.59,100
242438,55.19,100
257163,54,100
214447,56.52,100
145330,62.68,100
152136,-1,-1
148965,55.58,100
223409,-1,-1
261816,53.99,100
273829,63.81,100
220640,54.37,100
258952,54.03,100
242197,53.43,100
238566,50.38,0
157218,65.17,100
262152,57.25,100
150551,56.65,100
272632,58.22,100
145699,-1,-1
168099,62.47,100
140910,54,100
236259,51.13,100
148234,64.73,100
229044,52.08,100
226787,57.97,100
259929,56.26,100
206701,55.02,100
158986,56.35,100
146417,56,100
275444,69.33,100
197270,64.09,100
145911,57.22,100
265392,55.49,100
204131,54.13,100
216880,59.14,100
129822,53.89,0
281883,60.11,100
188230,54.82,100
186785,51.32,0
152081,55.02,100
221246,63.09,100
168195,62.35,100
133380,51.33,100
164153,59.75,100
151936,56.6,100
186863,53.47,100
255933,54.7,100
211097,59.89,0
147397,63.22,100
203840,54.62,100
175942,50.23,100
280496,58.65,100
202025,53.87,0
151981,55.3,100
216455,62.89,100
191752,57.05,100
145759,57.65,0
275144,57.74,100
198201,58.26,100
133838,51.21,100
136475,49.21,100
195963,53.56,100
275298,64.39,100
189055,57.55,100
251674,56.29,100
202730,57.55,100
230930,54.19,100
154181,54.85,100
246581,62.79,100
280493,59.02,100
133864,51.13,100
223146,52.37,100
251770,56.18,100
173621,50.32,100
222940,59.6,0
153716,56.01,0
209047,57.18,0
161692,56.9,100
228060,53.07,0
141998,62.81,100
172798,53.68,100
282152,60.95,100
238337,-1,-1
235502,53.15,100
147880,66.95,100
131140,-1,-1
241978,54.76,100
156594,51.12,100
249664,57.66,100
265516,54,100
167039,58.06,100
130866,52.05,0
163373,58.68,100
253119,-1,-1
197689,68.66,100
175438,52.08,100
250305,59.4,100
231795,53.5,100
142136,64.09,100
161036,56.69,100
222041,56.61,100
255472,54.51,100
207674,56.56,0
186163,52.19,100
164759,-1,-1
153428,58.05,100
280622,60.11,0
171740,55.17,100
237546,-1,-1
249371,-1,-1
219746,55.18,0
224112,49.67,0
160580,58.06,100
265737,-1,-1
209394,55.15,100
140401,56.26,100
226313,49.67,100
264186,53.23,100
220514,56.53,100
140130,54.6,0
207292,58.32,0
209805,52.95,100
248787,58.43,100
230275,54.41,100
242038,54.01,100
212304,54.21,100
138426,52.3,100
178936,52,100
281440,62,100
263710,54.3,100
133606,51.69,100
148573,60.95,100
132564,52.53,100
144287,52.79,100
256540,57.14,100
183664,57.71,100
204845,54.59,100
131388,47.82,0
144052,54.54,100
154450,53.25,100
239115,55.71,100
257209,54.07,100
141838,53.34,100
174291,54.55,100
198483,55.83,0
231129,53.88,100
140119,57.65,100
246045,76.64,100
221114,53.12,100
134091,49.84,100
151993,55.21,100
257813,54.04,100
206712,55.68,100
205097,54.11,0
200317,65.73,100
177434,52.47,0
221944,56.38,0
162111,56.02,0
231616,53.51,100
136136,50.81,100
270148,55.12,100
203312,55.64,100
208787,58.2,100
250064,56.33,100
217168,56.22,100
277009,56.56,100
235425,53.11,100
255497,54.56,100
176165,-1,-1
211941,55.48,100
243958,57.92,100
239317,56.11,0
188988,57.36,100
186106,52.24,100
208386,59.7,100
257726,54.39,100
284197,55.74,100
215774,53.46,0
208958,56.86,100
154370,53.07,100
215340,51.03,100
267309,62.46,100
269055,-1,-1
171519,55.14,100
267892,56.45,100
184169,58.36,100
139320,62.25,100
222687,54.04,100
198322,57.15,100
237164,53.91,100
232454,54.39,100
203316,-1,-1
215580,52.16,100
199391,55.34,100
273362,-1,-1
189593,57,100
259275,54.37,100
199879,63.93,100
225824,53.59,100
172456,56.53,100
161499,56.27,100
251432,59.15,100
218661,53.4,100
243458,-1,-1
169128,60.83,100
187369,53.21,100
206380,55.79,100
183360,58.8,100
279396,58.97,100
241353,53.37,100
184324,58.57,100
187243,53.76,100
136447,50.46,100
234485,56.81,100
167676,58.08,100
255299,55.38,0
151649,56.56,100
260750,54.4,100
214018,59.35,100
263090,55.13,100
232001,59.21,0
270746,55.58,100
170303,60.41,100
141975,62.31,100
266626,52.53,100
235244,55.01,100
153000,61.03,100
282714,-1,-1
199565,55.63,100
195929,53.7,100
177614,-1,-1
226643,49.23,100
239905,55.12,100
178841,51.75,100
271160,55.84,0
271561,70.4,100
206972,60.9,100
200054,67.33,100
142399,65.63,100
201627,52.97,100
131581,53.1,100
239789,55.43,100
200166,66.03,100
275804,66,100
222105,56.66,100
146110,56.23,100
206901,56.32,100
136002,50.12,100
176293,51.43,100
228115,52.37,100
230190,54.76,100
176790,56.04,0
263149,55.02,100
230398,54.34,100
171027,59.62,100
196362,53.87,100
156116,54.01,0
229072,52.13,100
277804,56.14,100
249566,58.13,0
192555,52.83,100
261799,53.85,100
257794,54.07,100
132299,52.35,100
128555,58.52,100
237326,54.17,100
142927,59.88,100
236915,50.59,100
217373,56.57,0
203832,54.13,100
175643,52.26,100
283937,57.91,100
284153,56.3,100
160110,-1,-1
177001,54.2,100
283755,58.01,100
233465,52.58,100
178496,50.4,0
258651,54.11,100
146716,55.63,100
153457,57.37,100
136650,48.17,0
198595,55.28,100
232717,53.87,100
161322,-1,-1
152170,55.11,100
175304,-1,-1
164253,59.12,100
265515,54,100
171615,55.49,100
231033,54.15,100
241567,56.48,100
186494,54.61,100
186330,53.59,100
271639,71.04,100
207910,55.32,100
179940,57.76,100
234467,58.14,0
260016,56.12,100
185044,57.93,100
166603,57.63,100
255137,-1,-1
207250,57.6,100
145006,63.15,100
252603,55.44,100
280469,58.19,0
194047,60.77,0
252046,55.69,100
157636,62.77,0
200996,54.9,100
264958,57.52,100
155478,56.31,0
242549,55.64,100
178519,-1,-1
197777,65.41,0
171609,55.4,100
231107,53.88,100
171917,55.65,100
253411,-1,-1
170982,59.68,100
171566,55.3,100
180117,58.62,100
233459,52.37,100
203380,55.89,100
272927,66.55,100
149455,55.85,100
231378,53.78,100
261940,53.92,0
267672,65.21,100
202537,52.37,100
200797,60.75,100
248604,59.35,100
204758,54.61,100
181405,58.95,100
186150,52.34,100
164227,59.31,100
205703,58.24,100
264065,54.01,100
181677,57.56,100
279348,-1,-1
156109,54.02,0
206436,55.52,100
200874,59.28,100
162951,58.18,100
172685,54.7,100
280972,66,100
131952,52.26,100
142561,66.39,0
240653,60.24,100
258839,53.94,100
145026,65.15,100
227878,-1,-1
209426,55.17,100
175628,52.2,100
251167,55.99,100
185180,56.15,100
162056,55.77,0
269868,55.4,100
148542,61.43,100
