Search_ID,Date_Time,Start_Home,Start_Work,End_Home,End_Work,User_ID,Start_Income,Start_Density,Start_Zip,End_Income,End_Density,End_Zip,Start_SLC,unix_time,random
157637,2/29/16 20:08,1,-1,0,-1,349668,69223,9993,94132,83407,17465,94116,66,1456805280,0.025106727
262678,4/13/16 16:02,0,0,0,1,572539,76952,30278,94115,48750,2719,94104,82,1460592120,0.034210267
208564,3/21/16 14:47,0,0,0,1,456658,48750,2719,94104,114439,15546,94107,88,1458600420,0.042557831
138140,2/22/16 0:58,0,0,1,0,308798,35427,50764,94108,82857,20675,94118,100,1456131480,0.053547913
207359,3/20/16 19:12,1,0,0,1,454202,94479,24633,94117,112650,24005,94123,76,1458529920,0.053718524
181521,3/10/16 2:44,0,0,1,0,400714,43364,17630,94103,43364,17630,94103,84,1457606640,0.062303419
218497,3/25/16 3:41,0,-1,1,-1,478204,76952,30278,94115,112650,24005,94123,77,1458906060,0.078030325
179653,3/9/16 15:52,-1,-1,-1,-1,395997,60722,46737,94109,50485,37044,94133,83,1457567520,0.084108703
140493,2/23/16 0:06,0,0,1,0,313492,71625,24592,94112,35427,50764,94108,62,1456214760,0.110405832
142162,2/23/16 15:32,0,0,0,0,316815,131351,11057,94127,96889,12939,94131,59,1456270320,0.142460288
158025,2/29/16 23:52,0,0,0,1,350429,69223,9993,94132,76952,30278,94115,75,1456818720,0.144364816
128521,2/18/16 16:32,1,0,0,1,290635,69076,7780,94501,48750,2719,94104,54,1455841920,0.145014252
180297,3/9/16 19:29,1,0,0,1,398205,50146,7167,94124,82195,7938,94158,73,1457580540,0.147222314
280300,4/21/16 3:13,-1,-1,-1,-1,611853,94479,24633,94117,114689,22028,94114,76,1461237180,0.16621877
180090,3/9/16 17:21,1,0,0,0,396280,81768,24269,94122,48750,2719,94104,57,1457572860,0.168426821
192482,3/14/16 23:01,0,0,0,0,423425,26054,16226,94612,82857,20675,94118,84,1458025260,0.216251751
178874,3/9/16 3:40,0,0,0,0,394958,22517,38579,94102,114689,22028,94114,91,1457523600,0.222781359
194483,3/15/16 15:57,0,0,0,1,427714,22517,38579,94102,82195,7938,94158,82,1458086220,0.235722095
258881,4/12/16 1:31,0,0,1,0,564124,69223,9993,94132,81768,24269,94122,66,1460453460,0.28739844
243497,4/5/16 18:55,0,0,0,0,531552,82111,31018,94110,82857,20675,94118,75,1459911300,0.292461493
256578,4/11/16 15:17,1,0,0,1,560092,83407,17465,94116,48750,2719,94104,73,1460416620,0.305166714
242218,4/5/16 2:10,-1,-1,-1,-1,528524,82111,31018,94110,81768,24269,94122,73,1459851000,0.332586475
251267,4/8/16 21:10,0,-1,0,-1,549616,43364,17630,94103,35427,50764,94108,69,1460178600,0.333738571
263032,4/13/16 19:33,1,0,0,0,573603,43364,17630,94103,22517,38579,94102,71,1460604780,0.349396537
194943,3/15/16 20:07,0,0,1,0,428698,163949,15033,94105,82857,20675,94118,81,1458101220,0.369050717
150669,2/26/16 16:55,0,0,1,0,334780,81768,24269,94122,82857,20675,94118,81,1456534500,0.386044811
151614,2/27/16 0:00,0,1,0,0,337740,43364,17630,94103,43364,17630,94103,74,1456560000,0.402694274
154358,2/28/16 1:55,0,0,0,0,342887,89722,10160,94111,92125,8638,94041,82,1456653300,0.469180353
205890,3/19/16 20:14,1,-1,0,-1,451288,69223,9993,94132,94479,24633,94117,66,1458447240,0.469958069
274734,4/19/16 1:38,0,1,0,0,599273,163949,15033,94105,82111,31018,94110,90,1461058680,0.490399765
175215,3/7/16 22:38,1,0,0,1,386644,82111,31018,94110,26054,16226,94612,66,1457419080,0.491735798
169536,3/5/16 1:14,0,0,0,0,375174,50146,7167,94124,163949,15033,94105,79,1457169240,0.495130684
280138,4/21/16 2:17,0,0,0,0,611540,22517,38579,94102,82111,31018,94110,91,1461233820,0.500094409
173153,3/6/16 22:47,0,0,1,0,382099,88451,6456,94030,76952,30278,94115,58,1457333220,0.525691104
240295,4/4/16 13:54,0,1,1,0,524009,43364,17630,94103,94479,24633,94117,71,1459806840,0.555021204
206029,3/19/16 21:25,0,0,0,0,451554,43364,17630,94103,22517,38579,94102,71,1458451500,0.570182043
252963,4/9/16 7:51,0,0,0,0,552724,112650,24005,94123,112650,24005,94123,77,1460217060,0.57436583
145817,2/24/16 22:24,1,0,0,1,325102,81768,24269,94122,82857,20675,94118,82,1456381440,0.609325747
239707,4/3/16 23:42,0,0,1,0,522917,114689,22028,94114,76952,30278,94115,85,1459755720,0.616170395
239293,4/3/16 19:59,0,0,0,0,522076,163949,15033,94105,35427,50764,94108,85,1459742340,0.618330842
167688,3/4/16 6:44,1,0,0,0,371359,131351,11057,94127,82111,31018,94110,65,1457102640,0.63665496
284282,4/22/16 21:02,0,0,0,1,620779,69223,9993,94132,77058,6340,94080,66,1461387720,0.649251287
128409,2/18/16 16:11,1,1,0,0,289719,76952,30278,94115,82195,7938,94158,78,1455840660,0.673849919
194809,3/15/16 18:37,1,0,0,0,428415,82111,31018,94110,52787,9621,94608,85,1458095820,0.678471028
138819,2/22/16 13:53,1,0,0,1,309990,81768,24269,94122,82195,7938,94158,74,1456177980,0.69110703
211321,3/22/16 14:59,0,0,0,1,462515,90764,7053,94403,60722,46737,94109,65,1458687540,0.715976107
223077,3/27/16 16:27,0,1,0,0,487572,43364,17630,94103,112650,24005,94123,93,1459124820,0.728927712
190901,3/14/16 5:16,0,0,1,0,419898,35427,50764,94108,94479,24633,94117,100,1457961360,0.73193409
150772,2/26/16 17:34,1,0,0,1,336062,131351,11057,94127,71625,24592,94112,58,1456536840,0.735971698
230523,3/30/16 23:00,0,0,0,0,504061,163949,15033,94105,57457,12820,94702,93,1459407600,0.75241273
228048,3/29/16 23:32,1,0,0,0,498535,60722,46737,94109,88451,6456,94030,89,1459323120,0.766191322
237928,4/2/16 22:42,1,-1,0,-1,519389,94479,24633,94117,43364,17630,94103,76,1459665720,0.771378185
280500,4/21/16 4:59,0,0,1,0,612203,76952,30278,94115,22517,38579,94102,77,1461243540,0.774592726
234405,4/1/16 6:26,0,-1,1,-1,512010,163949,15033,94105,78911,6787,94066,77,1459520760,0.798183274
241407,4/4/16 22:37,0,-1,1,-1,527023,69223,9993,94132,96889,12939,94131,74,1459838220,0.824116213
210206,3/22/16 1:09,0,1,0,0,460204,22517,38579,94102,22517,38579,94102,92,1458637740,0.832438394
141268,2/23/16 2:50,0,0,0,1,314756,60448,6986,94544,79833,9630,94061,55,1456224600,0.833052133
193792,3/15/16 6:55,1,0,0,0,425949,94479,24633,94117,163949,15033,94105,70,1458053700,0.838845345
210403,3/22/16 1:55,1,0,0,0,460571,50485,37044,94133,60722,46737,94109,90,1458640500,0.852023135
253757,4/9/16 21:30,0,0,1,0,554330,76952,30278,94115,60722,46737,94109,71,1460266200,0.858483136
233335,3/31/16 23:54,1,-1,0,-1,509962,22517,38579,94102,48750,2719,94104,84,1459497240,0.865938387
133070,2/19/16 21:27,1,0,0,0,299170,71625,24592,94112,76952,30278,94115,68,1455946020,0.875785702
206238,3/19/16 22:59,0,0,1,0,451904,114689,22028,94114,50485,37044,94133,84,1458457140,0.878486755
188899,3/12/16 23:57,0,0,0,0,416122,82857,20675,94118,71625,24592,94112,77,1457855820,0.899897588
138564,2/22/16 4:36,0,0,1,0,309475,89722,10160,94111,22517,38579,94102,93,1456144560,0.917406576
149655,2/26/16 3:10,0,0,1,0,333280,163949,15033,94105,82111,31018,94110,74,1456485000,0.918356526
204150,3/18/16 23:42,0,1,0,0,447946,48750,2719,94104,76952,30278,94115,88,1458373320,0.921426639
278698,4/20/16 17:45,-1,-1,-1,-1,608569,163949,15033,94105,69223,9993,94132,93,1461203100,0.938930334
251514,4/8/16 22:55,0,1,1,0,550246,89722,10160,94111,76952,30278,94115,88,1460184900,0.943930248
137620,2/21/16 21:05,0,0,1,0,307829,96889,12939,94131,81768,24269,94122,70,1456117500,0.973646051
242438,4/5/16 4:30,0,0,1,0,529205,55554,15926,94703,83407,17465,94116,70,1459859400,0.997597217
257163,4/11/16 21:01,0,0,0,0,561525,35427,50764,94108,43364,17630,94103,94,1460437260,1.005011081
214447,3/23/16 18:55,0,1,0,0,469459,112650,24005,94123,43364,17630,94103,66,1458788100,1.019653327
145330,2/24/16 17:13,0,0,0,1,323989,72756,13662,94121,82857,20675,94118,69,1456362780,1.0507656
152136,2/27/16 2:09,0,-1,0,-1,338781,88451,6456,94030,96889,12939,94131,48,1456567740,1.053413879
148965,2/26/16 0:33,1,0,0,0,331869,82857,20675,94118,82857,20675,94118,67,1456475580,1.054350616
223409,3/27/16 19:59,1,0,0,0,488154,94479,24633,94117,114689,22028,94114,69,1459137540,1.062993226
261816,4/13/16 3:38,0,1,0,0,570539,48750,2719,94104,76952,30278,94115,88,1460547480,1.069435429
273829,4/18/16 20:53,0,0,0,0,597355,48750,2719,94104,43364,17630,94103,88,1461041580,1.219149407
220640,3/26/16 1:44,0,0,0,0,482992,76952,30278,94115,60722,46737,94109,79,1458985440,1.223767338
258952,4/12/16 1:40,0,0,1,0,564226,48750,2719,94104,94479,24633,94117,90,1460454000,1.249880342
242197,4/5/16 2:05,0,1,1,0,528657,22517,38579,94102,82111,31018,94110,84,1459850700,1.25905702
238566,4/3/16 4:23,0,0,1,0,520596,69223,9993,94132,69223,9993,94132,54,1459686180,1.2622083
157218,2/29/16 16:42,1,-1,0,-1,348712,131351,11057,94127,22517,38579,94102,83,1456792920,1.272351597
262152,4/13/16 13:34,0,0,0,0,571260,22517,38579,94102,163949,15033,94105,87,1460583240,1.289904921
150551,2/26/16 16:29,1,0,0,1,335518,22517,38579,94102,163949,15033,94105,77,1456532940,1.307054486
272632,4/18/16 3:30,1,0,0,0,594332,114689,22028,94114,163949,15033,94105,89,1460979000,1.336262787
145699,2/24/16 21:05,1,0,0,0,324840,71625,24592,94112,69223,9993,94132,69,1456376700,1.342826717
168099,3/4/16 15:59,-1,-1,-1,-1,372424,22517,38579,94102,22517,38579,94102,80,1457135940,1.34486172
140910,2/23/16 1:41,-1,-1,-1,-1,314378,43364,17630,94103,82111,31018,94110,71,1456220460,1.368995989
236259,4/2/16 1:02,-1,-1,-1,-1,516107,112650,24005,94123,94479,24633,94117,82,1459587720,1.386383051
148234,2/25/16 18:36,1,0,0,0,330316,22517,38579,94102,82195,7938,94158,77,1456454160,1.418284065
229044,3/30/16 4:33,0,0,1,0,500499,35427,50764,94108,94479,24633,94117,100,1459341180,1.439785531
226787,3/29/16 13:33,0,0,0,0,495314,22517,38579,94102,35427,50764,94108,77,1459287180,1.45404167
259929,4/12/16 15:16,0,0,0,1,566460,35427,50764,94108,96919,10205,94086,95,1460502960,1.469371041
206701,3/20/16 4:01,0,0,1,0,452868,94479,24633,94117,82111,31018,94110,73,1458475260,1.470386795
158986,3/1/16 3:48,0,-1,0,-1,352285,76952,30278,94115,50485,37044,94133,77,1456832880,1.477914091
146417,2/25/16 1:54,0,1,0,0,326487,48750,2719,94104,50485,37044,94133,88,1456394040,1.49018072
275444,4/19/16 14:10,1,0,0,1,600793,112650,24005,94123,69223,9993,94132,75,1461103800,1.491596773
197270,3/16/16 14:30,0,0,0,1,432972,82111,31018,94110,114439,15546,94107,90,1458167400,1.495363171
145911,2/24/16 23:32,0,0,0,0,325384,81768,24269,94122,48750,2719,94104,67,1456385520,1.498612999
265392,4/14/16 19:01,0,0,0,1,579058,94479,24633,94117,22517,38579,94102,75,1460689260,1.548586643
204131,3/18/16 23:38,0,1,1,0,447919,48750,2719,94104,81768,24269,94122,88,1458373080,1.565169727
216880,3/24/16 17:24,0,0,0,0,474909,94479,24633,94117,43364,17630,94103,75,1458869040,1.565395874
129822,2/18/16 23:52,0,0,0,1,293086,71625,24592,94112,40927,10116,94603,67,1455868320,1.582581102
281883,4/21/16 22:08,0,1,0,0,615488,22517,38579,94102,35427,50764,94108,82,1461305280,1.619539368
188230,3/12/16 19:14,-1,-1,-1,-1,414938,69223,9993,94132,112650,24005,94123,72,1457838840,1.623901214
186785,3/12/16 0:52,0,0,0,0,411956,114812,3099,94568,117475,2123,94566,49,1457772720,1.63814043
152081,2/27/16 1:57,0,-1,1,-1,338687,112650,24005,94123,35427,50764,94108,70,1456567020,1.64567796
221246,3/26/16 13:30,-1,-1,-1,-1,484061,94479,24633,94117,35427,50764,94108,77,1459027800,1.665312688
168195,3/4/16 16:19,1,0,0,0,372678,43364,17630,94103,76952,30278,94115,77,1457137140,1.685006081
133380,2/19/16 23:37,0,0,0,0,299348,60722,46737,94109,112650,24005,94123,82,1455953820,1.687448098
164153,3/3/16 1:52,0,0,0,0,363873,48750,2719,94104,82857,20675,94118,88,1456998720,1.705504489
151936,2/27/16 1:23,0,0,1,0,338418,57457,12820,94702,63125,3018,94710,63,1456564980,1.71892618
186863,3/12/16 1:10,0,0,0,0,412122,48750,2719,94104,82857,20675,94118,88,1457773800,1.728897263
255933,4/11/16 3:04,0,0,0,0,558519,138884,1918,94920,163949,15033,94105,55,1460372640,1.731566875
211097,3/22/16 14:01,1,0,0,1,461911,78911,6787,94066,35427,50764,94108,66,1458684060,1.736290955
147397,2/25/16 14:30,0,0,0,0,328296,94479,24633,94117,112650,24005,94123,75,1456439400,1.737816802
203840,3/18/16 21:59,1,0,1,0,447033,50146,7167,94124,50146,7167,94124,69,1458367140,1.741999648
175942,3/8/16 2:05,0,0,0,0,388161,114689,22028,94114,22517,38579,94102,89,1457431500,1.77289803
