num_input,Proportion,leads_to_phil,total_articles
1,1,27,27
2,1,42,42
3,1,53,53
4,0.883333333,53,60
5,0.9,63,70
6,0.904109589,66,73
7,0.913580247,74,81
8,0.927835052,90,97
9,0.9,90,100
10,0.904761905,95,105
11,0.915254237,108,118
12,0.92248062,119,129
13,0.927536232,128,138
14,0.931034483,135,145
15,0.936708861,148,158
16,0.925,148,160
17,0.928571429,156,168
18,0.931428571,163,175
19,0.937823834,181,193
20,0.9408867,191,203
21,0.943925234,202,214
22,0.945454545,208,220
23,0.947136564,215,227
24,0.926724138,215,232
25,0.927659574,218,235
26,0.930894309,229,246
27,0.931451613,231,248
28,0.932539683,235,252
29,0.93359375,239,256
30,0.936090226,249,266
31,0.936802974,252,269
32,0.929889299,252,271
33,0.930656934,255,274
34,0.931654676,259,278
35,0.932862191,264,283
36,0.933797909,268,287
37,0.935153584,274,293
38,0.925675676,274,296
39,0.926910299,279,301
40,0.928338762,285,307
41,0.930379747,294,316
42,0.91588785,294,321
43,0.917177914,299,326
44,0.917682927,301,328
45,0.918918919,306,333
46,0.919881306,310,337
47,0.911764706,310,340
48,0.901162791,310,344
49,0.902017291,313,347
50,0.904225352,321,355
51,0.905555556,326,360
52,0.906849315,331,365
53,0.909814324,343,377
54,0.910994764,348,382
55,0.913043478,357,391
56,0.914786967,365,399
57,0.916049383,371,405
58,0.916666667,374,408
59,0.918072289,381,415
60,0.919047619,386,420
61,0.920745921,395,429
62,0.921658986,400,434
63,0.923766816,412,446
64,0.924276169,415,449
65,0.924611973,417,451
66,0.925438596,422,456
67,0.925925926,425,459
68,0.92688172,431,465
69,0.927813163,437,471
70,0.928421053,441,475
71,0.924528302,441,477
72,0.926380368,453,489
73,0.927855711,463,499
74,0.928712871,469,505
75,0.929133858,472,508
76,0.929824561,477,513
77,0.930097087,479,515
78,0.921153846,479,520
79,0.921904762,484,525
80,0.920152091,484,526
81,0.920754717,488,530
82,0.921052632,490,532
83,0.910780669,490,538
84,0.911275416,493,541
85,0.91160221,495,543
86,0.908256881,495,545
87,0.909747292,504,554
88,0.910714286,510,560
89,0.911816578,517,567
90,0.912434326,521,571
91,0.912587413,522,572
92,0.912891986,524,574
93,0.901893287,524,581
94,0.903061224,531,588
95,0.903225806,532,589
96,0.903716216,535,592
97,0.904682274,541,598
98,0.905,543,600
99,0.905315615,545,602
100,0.905940594,549,606
101,0.906557377,553,610
102,0.907317073,558,615
103,0.908653846,567,624
104,0.909379968,572,629
105,0.910094637,577,634
106,0.910798122,582,639
107,0.911764706,589,646
108,0.912037037,591,648
109,0.912307692,593,650
110,0.912844037,597,654
111,0.910060976,597,656
112,0.910334347,599,658
113,0.910606061,601,660
114,0.911144578,605,664
115,0.911940299,611,670
116,0.912462908,615,674
117,0.912592593,616,675
