article,distance,destination,child
Existence,0,Existence,Reality
Philosophy,0,Existence,Existence
Object (philosophy),0,Existence,Philosophy
Object of the mind,0,Existence,Object (philosophy)
Reality,0,Existence,Object of the mind
Fact,1,Existence,Reality
Knowledge,2,Existence,Fact
Science,3,Existence,Knowledge
Branches of science,4,Existence,Science
Natural science,5,Existence,Branches of science
Physics,6,Existence,Natural science
Dimension,7,Existence,Physics
3-dimensional space,8,Existence,Dimension
Physical body,9,Existence,3-dimensional space
Astronomical body,10,Existence,Physical body
Planet,11,Existence,Astronomical body
Earth,12,Existence,Planet
Land,13,Existence,Earth
Landmass,14,Existence,Land
Continent,15,Existence,Landmass
Europe,16,Existence,Continent
Southern Europe,17,Existence,Europe
Greece,18,Existence,Southern Europe
Kallikratis Plan,19,Existence,Greece
Administrative divisions of Greece,20,Existence,Kallikratis Plan
Regional units of Greece,21,Existence,Administrative divisions of Greece
Arcadia,22,Existence,Regional units of Greece
"Megalopolis, Greece",23,Existence,Arcadia
Quality (philosophy),1,Existence,Philosophy
Consciousness,2,Existence,Quality (philosophy)
Reasoning,3,Existence,Consciousness
Intellectual function,4,Existence,Reasoning
Cognition,5,Existence,Intellectual function
Mind,6,Existence,Cognition
Psychology,7,Existence,Mind
Identity (social science),8,Existence,Psychology
Polity,9,Existence,Identity (social science)
State (polity),10,Existence,Polity
Government,11,Existence,State (polity)
Court,12,Existence,Government
Supreme court,13,Existence,Court
Supreme Court of the United States,14,Existence,Supreme court
Edwards v. Aguillard,15,Existence,Supreme Court of the United States
Aesthetics,1,Existence,Philosophy
Work of art,2,Existence,Aesthetics
Printmaking,3,Existence,Work of art
Printing,4,Existence,Printmaking
History of printing,5,Existence,Printing
Literature,6,Existence,History of printing
Serial (literature),7,Existence,Literature
Periodical literature,8,Existence,Serial (literature)
Local newspaper,9,Existence,Periodical literature
Eidsvoll Ullensaker Blad,10,Existence,Local newspaper
EUB,11,Existence,Eidsvoll Ullensaker Blad
Competitive,0,Competitive,Rivalry
Rivalry,0,Competitive,Competitive
Competition,1,Competitive,Rivalry
Sport,2,Competitive,Competition
Contact sport,3,Competitive,Sport
Rugby union,4,Competitive,Contact sport
Mark Flanagan (rugby player),5,Competitive,Rugby union
Discipline (academia),3,Existence,Knowledge
Social science,4,Existence,Discipline (academia)
Social unit,5,Existence,Social science
Community,6,Existence,Social unit
Nation,7,Existence,Community
International law,8,Existence,Nation
Sovereign country,9,Existence,International law
United Kingdom,10,Existence,Sovereign country
British people,11,Existence,United Kingdom
Invasion (1966 film),12,Existence,British people
Serbs,8,Existence,Nation
Saint Sava,9,Existence,Serbs
Duchy of Saint Sava,10,Existence,Saint Sava
Procedural law,13,Existence,Court
Parliamentary procedure,14,Existence,Procedural law
Deliberative assembly,15,Existence,Parliamentary procedure
Debate,16,Existence,Deliberative assembly
Debate chamber,17,Existence,Debate
Upper house,18,Existence,Debate chamber
New York State Senate,19,Existence,Upper house
175th New York State Legislature,20,Existence,New York State Senate
Classical physics,7,Existence,Physics
Matter,8,Existence,Classical physics
Chemical substance,9,Existence,Matter
Chemical compound,10,Existence,Chemical substance
Mineral,11,Existence,Chemical compound
Rock (geology),12,Existence,Mineral
Stone tools,13,Existence,Rock (geology)
Prehistory,14,Existence,Stone tools
Proto-Indo-Europeans,15,Existence,Prehistory
Iranian peoples,16,Existence,Proto-Indo-Europeans
Achaemenid Empire,17,Existence,Iranian peoples
Classical Greece,18,Existence,Achaemenid Empire
Classical Athens,19,Existence,Classical Greece
Pausanias of Athens,20,Existence,Classical Athens
Stadium,21,Existence,Pausanias of Athens
Stadionul Orasenesc (Buftea),22,Existence,Stadium
Team sport,3,Competitive,Sport
American football,4,Competitive,Team sport
Jason Brown (American football),5,Competitive,American football
Arts,2,Existence,Aesthetics
Artist,3,Existence,Arts
Animalier,4,Existence,Artist
Georges Gardet,5,Existence,Animalier
Gardet,6,Existence,Georges Gardet
Sovereign state,9,Existence,International law
Switzerland,10,Existence,Sovereign state
Ferdinand de Saussure,11,Existence,Switzerland
Linguistic system,12,Existence,Ferdinand de Saussure
Language,13,Existence,Linguistic system
Language family,14,Existence,Language
Afroasiatic languages,15,Existence,Language family
Semitic languages,16,Existence,Afroasiatic languages
Semitic people,17,Existence,Semitic languages
Abrahamic religions,18,Existence,Semitic people
Christianity,19,Existence,Abrahamic religions
Eucharist,20,Existence,Christianity
Eucharist (disambiguation),21,Existence,Eucharist
Economics,5,Existence,Social science
Good (economics),6,Existence,Economics
Factor (agent),7,Existence,Good (economics)
Factor (disambiguation),8,Existence,Factor (agent)
Causality,9,Existence,Factor (disambiguation)
Interaction,10,Existence,Causality
System,11,Existence,Interaction
Market (economics),12,Existence,System
Product (business),13,Existence,Market (economics)
Business,14,Existence,Product (business)
Ed Price (Louisiana politician),15,Existence,Business
Action (philosophy),1,Existence,Philosophy
Behavior,2,Existence,Action (philosophy)
Social behavior,3,Existence,Behavior
Culture,4,Existence,Social behavior
Cultural system,5,Existence,Culture
Religion,6,Existence,Cultural system
Christian denomination,7,Existence,Religion
Methodist church,8,Existence,Christian denomination
Mt. Pleasant Methodist Church,9,Existence,Methodist church
Abstract and concrete,1,Existence,Object (philosophy)
Property,2,Existence,Abstract and concrete
Renting,3,Existence,Property
Lodging,4,Existence,Renting
Hotel,5,Existence,Lodging
Wyndham Hotels & Resorts,6,Existence,Hotel
Baymont Inn & Suites,7,Existence,Wyndham Hotels & Resorts
Linguistics,4,Existence,Science
Word,5,Existence,Linguistics
Terminology,6,Existence,Word
Term of art,7,Existence,Terminology
Navigation,8,Existence,Term of art
Compass,9,Existence,Navigation
Compass points,10,Existence,Compass
North,11,Existence,Compass points
Cardinal direction,12,Existence,North
South,13,Existence,Cardinal direction
Southern Africa,14,Existence,South
Namibia,15,Existence,Southern Africa
Itamunua Keimuine,16,Existence,Namibia
Basketball,4,Competitive,Team sport
Jamie Arnold (basketball),5,Competitive,Basketball
Decision-making,8,Existence,Psychology
Politics,9,Existence,Decision-making
Political geography,10,Existence,Politics
Country,11,Existence,Political geography
England,12,Existence,Country
Real property,13,Existence,England
Unincorporated area,14,Existence,Real property
"Orchard Grove, Indiana",15,Existence,Unincorporated area
Biology,6,Existence,Natural science
Extant taxon,7,Existence,Biology
Human,8,Existence,Extant taxon
Resource,9,Existence,Human
Resource extraction,10,Existence,Resource
Coal mine,11,Existence,Resource extraction
Dry Fork Mine,12,Existence,Coal mine
Law,12,Existence,System
Jurisprudence,13,Existence,Law
Natural person,14,Existence,Jurisprudence
Legal entity,15,Existence,Natural person
Organisation,16,Existence,Legal entity
Learned society,17,Existence,Organisation
Royal Society,18,Existence,Learned society
Fellow of the Royal Society,19,Existence,Royal Society
Charles Darwin,20,Existence,Fellow of the Royal Society
Domestication,21,Existence,Charles Darwin
Wildlife,22,Existence,Domestication
Hunting,23,Existence,Wildlife
Weapon,24,Existence,Hunting
Ranged weapon,25,Existence,Weapon
Artillery,26,Existence,Ranged weapon
Field artillery,27,Existence,Artillery
79th Field Artillery,28,Existence,Field artillery
1st Battalion 79th Field Artillery Regiment (United States),29,Existence,79th Field Artillery
Geography,4,Existence,Science
Region,5,Existence,Geography
Subregion,6,Existence,Region
East Asia,7,Existence,Subregion
China,8,Existence,East Asia
Provinces of China,9,Existence,China
Special administrative regions of China,10,Existence,Provinces of China
Hong Kong,11,Existence,Special administrative regions of China
Lilian Lee,12,Existence,Hong Kong
Sheng Si Qiao,13,Existence,Lilian Lee
Epistemic,1,Existence,Philosophy
Uncertainty,2,Existence,Epistemic
Information,3,Existence,Uncertainty
Copying,4,Existence,Information
Replica,5,Existence,Copying
Originality,6,Existence,Replica
Musical composition,7,Existence,Originality
Instrumental music,8,Existence,Musical composition
Musical ensemble,9,Existence,Instrumental music
Orchestra,10,Existence,Musical ensemble
Black Rainbow (composition),11,Existence,Orchestra
Ethnic group,9,Existence,Identity (social science)
Historical region,10,Existence,Ethnic group
Dalmatia,11,Existence,Historical region
Slavonia,12,Existence,Dalmatia
Brod-Posavina County,13,Existence,Slavonia
"Davor, Croatia",14,Existence,Brod-Posavina County
Custom (law),9,Existence,International law
Citizenship,10,Existence,Custom (law)
Naturalization,11,Existence,Citizenship
United States nationality law,12,Existence,Naturalization
Americans,13,Existence,United States nationality law
David Bach (author),14,Existence,Americans
David Bach,15,Existence,David Bach (author)
Motion-picture,0,Cinematography,Cinematography
Cinematography,0,Cinematography,Motion-picture
Film,1,Cinematography,Cinematography
Feature films,2,Cinematography,Film
Odessa Young,3,Cinematography,Feature films
Human settlement,5,Existence,Geography
Village,6,Existence,Human settlement
"Winniki, Opole Voivodeship",7,Existence,Village
Optics,7,Existence,Physics
Transparency and translucency,8,Existence,Optics
Water,9,Existence,Transparency and translucency
Body of water,10,Existence,Water
Stream,11,Existence,Body of water
Tributary,12,Existence,Stream
Willamette River,13,Existence,Tributary
Santiam River,14,Existence,Willamette River
South Santiam River,15,Existence,Santiam River
Middle Santiam River,16,Existence,South Santiam River
Quartzville Creek,17,Existence,Middle Santiam River
Australia,10,Existence,Sovereign state
1961 Victorian state election,11,Existence,Australia
Content (media),4,Existence,Information
Non-fiction,5,Existence,Content (media)
Documentary film,6,Existence,Non-fiction
The White Game,7,Existence,Documentary film
United States,12,Existence,Country
U.S. state,13,Existence,United States
Colorado,14,Existence,U.S. state
Cynthia Coffman (politician),15,Existence,Colorado
Scientific,3,Existence,Knowledge
Developmental psychology,4,Existence,Scientific
Autonomy,5,Existence,Developmental psychology
Dominion,6,Existence,Autonomy
British Empire,7,Existence,Dominion
Self-governing colony,8,Existence,British Empire
Republic of Dahomey,9,Existence,Self-governing colony
Benin,10,Existence,Republic of Dahomey
Nana Nafihou,11,Existence,Benin
List of foreign football players in Eswatini,12,Existence,Nana Nafihou
County (United States),13,Existence,United States
"Pike County, Pennsylvania",14,Existence,County (United States)
"Palmyra Township, Pike County, Pennsylvania",15,Existence,"Pike County, Pennsylvania"
Association football,4,Competitive,Team sport
Frank Brogan (footballer),5,Competitive,Association football
France,10,Existence,Sovereign state
Louis Bleriot,11,Existence,France
Bleriot VI,12,Existence,Louis Bleriot
Electrical,7,Existence,Physics
Sound recording and reproduction,8,Existence,Electrical
Extended play,9,Existence,Sound recording and reproduction
"You Brainstorm, I Brainstorm, but Brilliance Needs a Good Editor",10,Existence,Extended play
North America,16,Existence,Continent
Canada,17,Existence,North America
Order of Canada,18,Existence,Canada
Jack Webster (journalist),19,Existence,Order of Canada
Jack Webster,20,Existence,Jack Webster (journalist)
Philadelphia,14,Existence,U.S. state
Dennis Sandole,15,Existence,Philadelphia
Billy Bean (musician),16,Existence,Dennis Sandole
Billy Bean (disambiguation),17,Existence,Billy Bean (musician)
Sound,7,Existence,Physics
Noise,8,Existence,Sound
Noise music,9,Existence,Noise
Noise rock,10,Existence,Noise music
EX-Girl,11,Existence,Noise rock
Kero! Kero! Kero!,12,Existence,EX-Girl
Broadcasting of sports events,3,Competitive,Sport
Sportscaster,4,Competitive,Broadcasting of sports events
Rick Rizzs,5,Competitive,Sportscaster
List of transcontinental countries,10,Existence,Sovereign state
Turkey,11,Existence,List of transcontinental countries
Provinces of Turkey,12,Existence,Turkey
Mersin Province,13,Existence,Provinces of Turkey
Narlikuyu,14,Existence,Mersin Province
Built structure,12,Existence,System
Building,13,Existence,Built structure
House,14,Existence,Building
Mansion,15,Existence,House
Country house,16,Existence,Mansion
Henry Avray Tipping,17,Existence,Country house
Space,10,Existence,Physical body
Universe,11,Existence,Space
Nature,12,Existence,Universe
Fibre,13,Existence,Nature
Paper,14,Existence,Fibre
Page (paper),15,Existence,Paper
Book,16,Existence,Page (paper)
Bibliographer,17,Existence,Book
Jean Saas,18,Existence,Bibliographer
Referent,0,Name,Name
Name,0,Name,Referent
Pseudonym,1,Name,Name
Pen name,2,Name,Pseudonym
Sheng Xue,3,Name,Pen name
Electrically,7,Existence,Physics
Molecule,8,Existence,Electrically
Macromolecular,9,Existence,Molecule
Enzyme,10,Existence,Macromolecular
TOP3A,11,Existence,Enzyme
Gold mining,11,Existence,Resource extraction
"Nevadaville, Colorado",12,Existence,Gold mining
Biological classification,7,Existence,Biology
Taxonomic rank,8,Existence,Biological classification
Family (biology),9,Existence,Taxonomic rank
Geometridae,10,Existence,Family (biology)
Brachytrita,11,Existence,Geometridae
Island country,12,Existence,Country
Bahrain,13,Existence,Island country
Politics of Bahrain,14,Existence,Bahrain
Naser al-Raas,15,Existence,Politics of Bahrain
Football,4,Competitive,Team sport
Gridiron football,5,Competitive,Football
Stewart Stover,6,Competitive,Gridiron football
Playing field,3,Competitive,Sport
Bat-and-ball games,4,Competitive,Playing field
Cricket,5,Competitive,Bat-and-ball games
Mohit Sharma,6,Competitive,Cricket
Record label,9,Existence,Sound recording and reproduction
Independent record label,10,Existence,Record label
Clay Records discography,11,Existence,Independent record label
Island,16,Existence,Continent
Great Britain,17,Existence,Island
Anglo-Saxons,18,Existence,Great Britain
Anglo-Normans,19,Existence,Anglo-Saxons
Norman invasion of Ireland,20,Existence,Anglo-Normans
Counties of Ireland,21,Existence,Norman invasion of Ireland
County Donegal,22,Existence,Counties of Ireland
Courtyard Shopping Centre,23,Existence,County Donegal
Music,5,Existence,Culture
Music genre,6,Existence,Music
Jazz,7,Existence,Music genre
Steve Lacy,8,Existence,Jazz
Revenue (album),9,Existence,Steve Lacy
Creativity,8,Existence,Psychology
Research,9,Existence,Creativity
Martin Luther University of Halle-Wittenberg,10,Existence,Research
Werner Maser,11,Existence,Martin Luther University of Halle-Wittenberg
Hitler's Letters and Notes,12,Existence,Werner Maser
Legal personality,15,Existence,Natural person
Company,16,Existence,Legal personality
Corporation,17,Existence,Company
Financial institution,18,Existence,Corporation
International financial institution,19,Existence,Financial institution
International Bank for Reconstruction and Development,20,Existence,International financial institution
List of specialized agencies of the United Nations,21,Existence,International Bank for Reconstruction and Development
World Health Organization,22,Existence,List of specialized agencies of the United Nations
Health,23,Existence,World Health Organization
Digital health,24,Existence,Health
Rock Health,25,Existence,Digital health
Halle Tecco,26,Existence,Rock Health
Quantitative property,6,Existence,Natural science
Qualitative property,7,Existence,Quantitative property
Data,8,Existence,Qualitative property
Infographics,9,Existence,Data
Strategy visualization,10,Existence,Infographics
Anthropology,4,Existence,Science
Ethnology,5,Existence,Anthropology
Ethnic groups in Europe,6,Existence,Ethnology
Germanic peoples,7,Existence,Ethnic groups in Europe
Franks,8,Existence,Germanic peoples
Carolingian Empire,9,Existence,Franks
Lotharingia,10,Existence,Carolingian Empire
Lothair II,11,Existence,Lotharingia
List of rulers of Lorraine,12,Existence,Lothair II
Animal science,7,Existence,Biology
Animal breeding,8,Existence,Animal science
Selective breeding,9,Existence,Animal breeding
Horse breed,10,Existence,Selective breeding
Barb horse,11,Existence,Horse breed
List of horse breeds,12,Existence,Barb horse
Thoroughbred,13,Existence,List of horse breeds
Ruler on Ice,14,Existence,Thoroughbred
Motion,7,Existence,Physics
Transport,8,Existence,Motion
Rail transport,9,Existence,Transport
Rail tracks,10,Existence,Rail transport
Tilting train,11,Existence,Rail tracks
KiHa 261 series,12,Existence,Tilting train
Fine art,2,Existence,Aesthetics
Theatre,3,Existence,Fine art
Rakvere Theatre,4,Existence,Theatre
Object (physics),9,Existence,3-dimensional space
Flight,10,Existence,Object (physics)
Aviation,11,Existence,Flight
Civil aviation,12,Existence,Aviation
Airline,13,Existence,Civil aviation
Commuter airline,14,Existence,Airline
Alas Chiricanas,15,Existence,Commuter airline
Administrative division,12,Existence,Country
Municipality,13,Existence,Administrative division
Capital city,14,Existence,Municipality
Athens,15,Existence,Capital city
Phaeax (orator),16,Existence,Athens
Sign process,2,Existence,Action (philosophy)
Semiotics,3,Existence,Sign process
Meaning (semiotics),4,Existence,Semiotics
Communication,5,Existence,Meaning (semiotics)
Media (communication),6,Existence,Communication
Digital media,7,Existence,Media (communication)
Compact disc,8,Existence,Digital media
Album,9,Existence,Compact disc
Stone Cold Rhymin',10,Existence,Album
Indo-European languages,15,Existence,Language family
Greek language,16,Existence,Indo-European languages
Diocese,17,Existence,Greek language
Bishop of Dunkeld,18,Existence,Diocese
William the Dean,19,Existence,Bishop of Dunkeld
Mechanics,4,Existence,Science
Ballistics,5,Existence,Mechanics
